"MovieID"	"Action"	"Adventure"	"Animation"	"Children.s"	"Comedy"	"Crime"	"Documentary"	"Drama"	"Fantasy"	"Film.Noir"	"Horror"	"Musical"	"Mystery"	"Romance"	"Sci.Fi"	"Thriller"	"War"	"Western"	"Title"	"Year"
1	0	0	31.679	31.679	31.679	0	0	0	0	0	0	0	0	0	0	0	0	0	"Toy Story (1995)"	1995
2	0	20.976	0	20.976	0	0	0	0	20.976	0	0	0	0	0	0	0	0	0	"Jumanji (1995)"	1995
3	0	0	0	0	18.615	0	0	0	0	0	0	0	0	18.615	0	0	0	0	"Grumpier Old Men (1995)"	1995
4	0	0	0	0	14.016	0	0	14.016	0	0	0	0	0	0	0	0	0	0	"Waiting to Exhale (1995)"	1995
5	0	0	0	0	17.11	0	0	0	0	0	0	0	0	0	0	0	0	0	"Father of the Bride Part II (1995)"	1995
6	26.556	0	0	0	0	26.556	0	0	0	0	0	0	0	0	0	26.556	0	0	"Heat (1995)"	1995
7	0	0	0	0	20.893	0	0	0	0	0	0	0	0	20.893	0	0	0	0	"Sabrina (1995)"	1995
8	0	12.723	0	12.723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Tom and Huck (1995)"	1995
9	12.289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Sudden Death (1995)"	1995
10	24.04	24.04	0	0	0	0	0	0	0	0	0	0	0	0	0	24.04	0	0	"GoldenEye (1995)"	1995
11	0	0	0	0	26.33	0	0	26.33	0	0	0	0	0	26.33	0	0	0	0	"American President, The (1995)"	1995
12	0	0	0	0	11.987	0	0	0	0	0	11.987	0	0	0	0	0	0	0	"Dracula: Dead and Loving It (1995)"	1995
13	0	0	14.993	14.993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Balto (1995)"	1995
14	0	0	0	0	0	0	0	17.816	0	0	0	0	0	0	0	0	0	0	"Nixon (1995)"	1995
15	12.256	12.256	0	0	0	0	0	0	0	0	0	0	0	12.256	0	0	0	0	"Cutthroat Island (1995)"	1995
16	0	0	0	0	0	0	0	24.749	0	0	0	0	0	0	0	24.749	0	0	"Casino (1995)"	1995
17	0	0	0	0	0	0	0	27.096	0	0	0	0	0	27.096	0	0	0	0	"Sense and Sensibility (1995)"	1995
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.877	0	0	"Four Rooms (1995)"	1995
19	0	0	0	0	14.797	0	0	0	0	0	0	0	0	0	0	0	0	0	"Ace Ventura: When Nature Calls (1995)"	1995
20	12.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Money Train (1995)"	1995
21	26.136	0	0	0	26.136	0	0	26.136	0	0	0	0	0	0	0	0	0	0	"Get Shorty (1995)"	1995
22	0	0	0	0	0	19.876	0	19.876	0	0	0	0	0	0	0	19.876	0	0	"Copycat (1995)"	1995
23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.816	0	0	"Assassins (1995)"	1995
24	0	0	0	0	0	0	0	20.46	0	0	0	0	0	0	20.46	0	0	0	"Powder (1995)"	1995
25	0	0	0	0	0	0	0	25.148	0	0	0	0	0	25.148	0	0	0	0	"Leaving Las Vegas (1995)"	1995
26	0	0	0	0	0	0	0	16.256	0	0	0	0	0	0	0	0	0	0	"Othello (1995)"	1995
27	0	0	0	0	0	0	0	12.062	0	0	0	0	0	0	0	0	0	0	"Now and Then (1995)"	1995
28	0	0	0	0	0	0	0	0	0	0	0	0	0	21.038	0	0	0	0	"Persuasion (1995)"	1995
29	0	24.368	0	0	0	0	0	0	0	0	0	0	0	0	24.368	0	0	0	"City of Lost Children, The (1995)"	1995
30	0	0	0	0	0	0	0	15.705	0	0	0	0	0	0	0	0	0	0	"Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)"	1995
31	0	0	0	0	0	0	0	15.406	0	0	0	0	0	0	0	0	0	0	"Dangerous Minds (1995)"	1995
32	0	0	0	0	0	0	0	28.889	0	0	0	0	0	0	28.889	0	0	0	"Twelve Monkeys (1995)"	1995
33	0	4.158	0	0	0	0	0	0	0	0	0	0	0	4.158	0	0	0	0	"Wings of Courage (1995)"	1995
34	0	0	0	29.058	29.058	0	0	29.058	0	0	0	0	0	0	0	0	0	0	"Babe (1995)"	1995
35	0	0	0	0	0	0	0	14.078	0	0	0	0	0	14.078	0	0	0	0	"Carrington (1995)"	1995
36	0	0	0	0	0	0	0	27.045	0	0	0	0	0	0	0	0	0	0	"Dead Man Walking (1995)"	1995
37	0	0	0	0	0	0	7.277	0	0	0	0	0	0	0	0	0	0	0	"Across the Sea of Time (1995)"	1995
38	0	0	0	0	9.4	0	0	0	0	0	0	0	0	0	0	0	0	0	"It Takes Two (1995)"	1995
39	0	0	0	0	26.147	0	0	0	0	0	0	0	0	26.147	0	0	0	0	"Clueless (1995)"	1995
40	0	0	0	0	0	0	0	13.376	0	0	0	0	0	0	0	0	0	0	"Cry, the Beloved Country (1995)"	1995
41	0	0	0	0	0	0	0	21.731	0	0	0	0	0	0	0	0	21.731	0	"Richard III (1995)"	1995
42	15.487	0	0	0	0	15.487	0	15.487	0	0	0	0	0	0	0	0	0	0	"Dead Presidents (1995)"	1995
43	0	0	0	0	0	0	0	17.616	0	0	0	0	0	0	0	0	0	0	"Restoration (1995)"	1995
44	16.003	16.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Mortal Kombat (1995)"	1995
45	0	0	0	0	21.574	0	0	21.574	0	0	0	0	0	0	0	0	0	0	"To Die For (1995)"	1995
46	0	0	0	0	0	0	0	15.888	0	0	0	0	0	15.888	0	0	0	0	"How to Make an American Quilt (1995)"	1995
47	0	0	0	0	0	28.89	0	0	0	0	0	0	0	0	0	28.89	0	0	"Seven (Se7en) (1995)"	1995
48	0	0	17.692	17.692	0	0	0	0	0	0	0	17.692	0	17.692	0	0	0	0	"Pocahontas (1995)"	1995
49	0	0	0	0	0	0	0	12.33	0	0	0	0	0	12.33	0	0	0	0	"When Night Is Falling (1995)"	1995
50	0	0	0	0	0	33.814	0	0	0	0	0	0	0	0	0	33.814	0	0	"Usual Suspects, The (1995)"	1995
51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Guardian Angel (1994)"	1994
52	0	0	0	0	22.08	0	0	0	0	0	0	0	0	0	0	0	0	0	"Mighty Aphrodite (1995)"	1995
53	0	0	0	0	0	0	0	9.875	0	0	0	0	0	0	0	0	0	0	"Lamerica (1994)"	1994
54	0	0	0	9.512	9.512	0	0	0	0	0	0	0	0	0	0	0	0	0	"Big Green, The (1995)"	1995
55	0	0	0	0	0	0	0	11.676	0	0	0	0	0	0	0	0	0	0	"Georgia (1995)"	1995
56	0	4.394	0	4.394	0	0	0	0	4.394	0	0	0	0	0	0	0	0	0	"Kids of the Round Table (1995)"	1995
57	0	0	0	0	0	0	0	15.641	0	0	0	0	0	0	0	0	0	0	"Home for the Holidays (1995)"	1995
58	0	0	0	0	0	0	0	25.452	0	0	0	0	0	25.452	0	0	0	0	"Postino, Il (The Postman) (1994)"	1994
59	0	0	0	0	0	0	0	5.717	0	0	0	0	5.717	0	0	0	0	0	"Confessional, The (Le Confessionnal) (1995)"	1995
60	0	18.886	0	18.886	0	0	0	0	18.886	0	0	0	0	0	0	0	0	0	"Indian in the Cupboard, The (1995)"	1995
61	0	0	0	0	0	0	0	12.615	0	0	0	0	0	0	0	12.615	0	0	"Eye for an Eye (1996)"	1996
62	0	0	0	0	0	0	0	23.265	0	0	0	0	0	0	0	0	0	0	"Mr. Holland's Opus (1995)"	1995
63	0	0	0	0	13.452	0	0	0	0	0	0	0	0	0	0	0	0	0	"Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)"	1996
64	0	0	0	0	9.9	0	0	0	0	0	0	0	0	9.9	0	0	0	0	"Two if by Sea (1996)"	1996
65	0	0	0	0	10.239	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bio-Dome (1996)"	1996
66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.64	7.64	0	0	"Lawnmower Man 2: Beyond Cyberspace (1996)"	1996
67	0	0	0	0	0	0	0	4.504	0	0	0	0	0	0	0	0	0	0	"Two Bits (1995)"	1995
68	0	0	0	0	14.124	0	0	0	0	0	0	0	0	14.124	0	0	0	0	"French Twist (Gazon maudit) (1995)"	1995
69	0	0	0	0	21.071	0	0	0	0	0	0	0	0	0	0	0	0	0	"Friday (1995)"	1995
70	21.518	0	0	0	21.518	21.518	0	0	0	0	21.518	0	0	0	0	21.518	0	0	"From Dusk Till Dawn (1996)"	1996
71	9.603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Fair Game (1995)"	1995
72	0	0	0	0	16.473	0	0	16.473	0	0	0	0	0	0	0	0	0	0	"Kicking and Screaming (1995)"	1995
73	0	0	0	0	0	0	0	20.658	0	0	0	20.658	0	0	0	0	0	0	"Misérables, Les (1995)"	1995
74	0	0	0	0	0	0	0	14.241	0	0	0	0	0	14.241	0	0	0	0	"Bed of Roses (1996)"	1996
75	0	0	0	0	4.764	0	0	4.764	0	0	0	0	0	0	0	0	0	0	"Big Bully (1996)"	1996
76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.789	14.789	0	0	"Screamers (1995)"	1995
77	0	0	0	0	0	0	13.275	0	0	0	0	0	0	0	0	0	0	0	"Nico Icon (1995)"	1995
78	0	0	0	0	0	0	0	12.753	0	0	0	0	0	0	0	0	0	0	"Crossing Guard, The (1995)"	1995
79	0	0	0	0	0	0	0	12.337	0	0	0	0	0	0	0	12.337	0	0	"Juror, The (1996)"	1996
80	0	0	0	0	0	0	0	15.12	0	0	0	0	0	0	0	0	0	0	"White Balloon, The (Badkonake Sefid ) (1995)"	1995
81	0	0	0	0	0	16.169	0	16.169	0	0	0	0	0	16.169	0	0	0	0	"Things to Do in Denver when You're Dead (1995)"	1995
82	0	0	0	0	0	0	0	17.399	0	0	0	0	0	0	0	0	0	0	"Antonia's Line (Antonia) (1995)"	1995
83	0	0	0	0	0	0	0	12.928	0	0	0	0	0	0	0	0	0	0	"Once Upon a Time... When We Were Colored (1995)"	1995
84	0	0	0	0	9.424	0	0	9.424	0	0	0	0	0	0	0	0	0	0	"Last Summer in the Hamptons (1995)"	1995
85	0	0	0	0	0	0	0	17.922	0	0	0	0	0	17.922	0	0	0	0	"Angels and Insects (1995)"	1995
86	0	18.545	0	0	0	0	0	18.545	0	0	0	0	0	0	0	0	0	0	"White Squall (1996)"	1996
87	0	0	0	9.576	9.576	0	0	0	0	0	0	0	0	0	0	0	0	0	"Dunston Checks In (1996)"	1996
88	0	0	0	0	15.471	0	0	0	0	0	0	0	0	0	0	0	0	0	"Black Sheep (1996)"	1996
89	16.704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.704	0	0	"Nick of Time (1995)"	1995
90	0	0	0	0	0	0	0	6.571	0	0	0	0	0	0	0	0	0	0	"Journey of August King, The (1995)"	1995
92	0	0	0	0	0	0	0	10.481	0	0	0	0	0	0	0	10.481	0	0	"Mary Reilly (1996)"	1996
93	0	0	0	0	10.037	0	0	0	0	0	0	0	0	10.037	0	0	0	0	"Vampire in Brooklyn (1995)"	1995
